id;bank_id;branch_name;owner_name;card_number;account_number;account_name
1;45324;Shoes Streamlined;Developer;NebraskaXXXXXXXXXXXX;matrix Gam;Credit Card Account
2;38365;scale magnetic Baht;North;LegacyXXXXXXXXXXXXXX;multimedia;Savings Account
3;12582;Advanced Upgradable;transmitting;India fuchsiaXXXXXXX;Facilitato;Auto Loan Account
4;34928;York Facilitator architectures;mobile lavender Texas;BerkshireXXXXXXXXXXX;Seamless S;Money Market Account
5;46644;interface mobile;protocol Assistant;Borders XML cross-me;cross-plat;Credit Card Account
6;11929;Implementation Tasty Baby;uniform GB;Montana white SASXXX;calculatin;Home Loan Account
7;35019;Rapid protocol invoice;Bedfordshire Gold indigo;orchid protocolXXXXX;Algeria Je;Home Loan Account
8;59767;deposit FTP;global syndicate Chile;calculatingXXXXXXXXX;compressin;Credit Card Account
9;74775;Focused responsive Concrete;Bolivia Islands;Small programXXXXXXX;interactiv;Savings Account
10;92913;Dollar deposit;bus Brand;optical rebootXXXXXX;Shoes Miss;Investment Account
