id;needy_account_id;owner_name;card_number;account_number;account_name;sheba_number
1;13955;Account Account transmitting;IncredibleXXXXXXXXXX;background;Auto Loan Account;strategicXXXXXXXXXXXXXXXXX
2;93860;Soft Automotive JBOD;unleash Egyptian Bra;firewall m;Savings Account;PCI Account DirectorXXXXXX
3;34903;Island Djibouti Handmade;Generic DinarXXXXXXX;Persistent;Savings Account;GenericXXXXXXXXXXXXXXXXXXX
4;47760;Licensed back-end FTP;Advanced Dynamic Alg;Missouri F;Auto Loan Account;Agent Loan inputXXXXXXXXXX
5;14620;channels generate;Soft synergisticXXXX;Montana In;Investment Account;Assurance KingdomXXXXXXXXX
6;66924;Human Consultant compelling;FutureXXXXXXXXXXXXXX;Devolved t;Investment Account;and Credit SSLXXXXXXXXXXXX
7;96137;payment Borders;capacityXXXXXXXXXXXX;COM SoftXX;Home Loan Account;ChileXXXXXXXXXXXXXXXXXXXXX
8;79087;Account Optimization Jewelery;coherentXXXXXXXXXXXX;Bike black;Money Market Account;Investor Chilean UnitXXXXX
9;826;ChadXXXXXX;Cambridgeshire dedic;utilize Le;Personal Loan Account;Federation back-end progra
10;17542;synergies empowering;Pants BedfordshireXX;Cotton Coo;Personal Loan Account;copyXXXXXXXXXXXXXXXXXXXXXX
